run,phase,ts,setup,prep,pureTcp,authAckRtt,keyReady,respAKE,hs2secrets,helloAuth,peer,peerTotal
83,steady,2026-09-10 15:00:11.531,13.018,2.1221,10.427299999999999,16.9775,18.1115,1.0797,18.1118,29.2062,29.5841,42.602
84,steady,2026-09-10 15:00:13.642,13.1925,2.0995,10.5585,15.0981,16.618,1.4259000000000002,16.618299999999998,27.6116,27.913,41.1054
85,steady,2026-09-10 15:00:15.753,13.4932,2.4864,10.4822,14.5625,15.8855,1.2627000000000002,15.8859,26.9709,27.3008,40.794
86,steady,2026-09-10 15:00:17.882,14.123299999999999,2.942,10.4619,19.047400000000003,24.965799999999998,5.8264,24.9662,36.1099,36.4255,50.5488
87,steady,2026-09-10 15:00:20.001,13.6288,2.3467,10.7823,16.923099999999998,22.1644,5.1418,22.1646,32.9645,33.257,46.8858
88,steady,2026-09-10 15:00:22.118,14.4216,3.2647,10.6059,15.8276,17.1703,1.3039,17.1706,28.012900000000002,28.2312,42.652800000000006
89,steady,2026-09-10 15:00:24.239,17.004,5.5175,10.520100000000001,16.1328,19.022599999999997,2.7935,19.023,30.0744,30.4193,47.423300000000005
90,steady,2026-09-10 15:00:26.354,13.9818,2.7636,10.5875,17.9649,19.869,1.8223,19.869400000000002,31.2705,31.5143,45.4961
91,steady,2026-09-10 15:00:28.465,13.0912,2.2123000000000004,10.399299999999998,19.6923,20.9375,1.1784000000000001,20.9378,31.577900000000003,31.7473,44.8385
92,steady,2026-09-10 15:00:30.579,14.542200000000001,3.2392,10.510299999999999,16.4438,17.7197,1.2163,17.72,28.788,28.997799999999998,43.54
93,steady,2026-09-10 15:00:32.689,13.0893,2.0991999999999997,10.461200000000002,17.2679,21.0035,3.6646,21.0039,31.9648,32.2173,45.306599999999996
94,steady,2026-09-10 15:00:34.802,13.2441,2.3322,10.402299999999999,14.0641,17.7219,3.6026,17.7222,28.5892,28.886200000000002,42.130300000000005
95,steady,2026-09-10 15:00:36.916,14.73,3.2565999999999997,10.5839,17.6981,19.071900000000003,1.3013,19.072200000000002,30.1098,30.435599999999997,45.1656
96,steady,2026-09-10 15:00:39.029,14.9312,2.4179,11.963,16.3891,18.2393,1.7375,18.2395,29.487099999999998,29.8369,44.7681
97,steady,2026-09-10 15:00:41.132,12.7535,2.0154,10.401399999999999,17.551,18.8834,1.2497,18.8839,29.791900000000002,30.1757,42.929199999999994
98,steady,2026-09-10 15:00:43.248,13.0483,2.1205,10.5214,18.0912,24.2135,6.0521,24.214,35.8785,36.8256,49.874
99,steady,2026-09-10 15:00:45.400,16.2339,4.8403,10.6591,24.5475,38.9994,14.3704,39.0,51.8321,54.1541,70.388
100,steady,2026-09-10 15:00:47.609,19.844099999999997,8.6578,10.5185,24.719099999999997,26.546200000000002,1.7669000000000001,26.5467,38.571,39.1637,59.0078
101,steady,2026-09-10 15:00:49.714,16.2109,4.982399999999999,10.6712,19.5682,21.2533,1.607,21.2538,32.451,32.871900000000004,49.082800000000006
102,steady,2026-09-10 15:00:51.831,13.335700000000001,2.2841,10.5519,17.081,21.1513,3.9977,21.1516,32.3399,32.5898,45.9254
103,steady,2026-09-10 15:00:53.949,18.498099999999997,6.8986,10.6968,18.5175,20.3997,1.8423,20.399900000000002,31.4799,31.9488,50.4469
104,steady,2026-09-10 15:00:56.072,17.4913,5.9516,10.7559,16.657400000000003,21.2667,4.5773,21.267,32.806400000000004,33.4425,50.933800000000005
105,steady,2026-09-10 15:00:58.174,13.3469,2.3569,10.5641,17.298,21.4814,4.1356,21.4816,32.3425,32.5008,45.847699999999996
106,steady,2026-09-10 15:01:00.289,15.200899999999999,3.6203000000000003,10.73,18.1083,21.038700000000002,2.8686,21.0388,32.309599999999996,32.5458,47.7468
107,steady,2026-09-10 15:01:02.401,12.875,1.9465999999999999,10.4755,18.795900000000003,21.6753,2.8091,21.6756,33.2304,33.5717,46.4468
108,steady,2026-09-10 15:01:29.988,14.972100000000001,3.6614,10.609399999999999,16.9701,18.395400000000002,1.3854000000000002,18.395599999999998,29.3263,29.5015,44.473699999999994
109,steady,2026-09-10 15:01:32.103,13.4223,2.3621999999999996,10.3829,17.037,18.6399,1.5472000000000001,18.6402,29.460099999999997,29.6013,43.0236
110,steady,2026-09-10 15:01:34.224,12.3638,1.5873,10.4665,16.3962,22.1878,5.7642,22.188,34.3866,34.7142,47.078
111,steady,2026-09-10 15:01:36.345,14.140600000000001,3.0246,10.4666,16.391099999999998,17.587400000000002,1.1635,17.5876,28.380599999999998,28.597099999999998,42.7377
112,steady,2026-09-10 15:01:38.454,12.4084,1.7324000000000002,10.3699,24.8842,26.187900000000003,1.2605,26.1881,37.101699999999994,37.222,49.6304
113,steady,2026-09-10 15:01:40.550,13.155700000000001,2.2538,10.5211,16.9955,20.791700000000002,3.732,20.791900000000002,31.9139,32.180099999999996,45.335800000000006
114,steady,2026-09-10 15:01:42.658,13.068700000000002,1.9779,10.5974,16.565,17.6965,1.0845,17.6967,28.5649,28.8022,41.8709
115,steady,2026-09-10 15:01:44.757,12.7595,1.8444,10.4965,17.4923,18.6206,1.0706,18.621,29.413700000000002,29.5652,42.3246
116,excess,2026-09-10 15:01:46.888,16.7253,5.2813,10.5395,27.6505,32.2139,4.4613000000000005,32.2142,43.383900000000004,43.6544,60.379599999999996
117,excess,2026-09-10 15:01:49.047,13.8106,2.9901999999999997,10.4402,17.128400000000003,18.4129,1.2485,18.4132,29.081599999999998,29.212400000000002,43.023
118,excess,2026-09-10 15:01:51.178,13.4194,2.0836,10.6501,17.6929,18.8997,1.1372,18.9,29.8669,30.1313,43.5507
119,excess,2026-09-10 15:01:53.292,17.378700000000002,6.0301,10.7514,17.7299,19.0347,1.221,19.035,30.0113,30.191200000000002,47.569900000000004
120,excess,2026-09-10 15:01:55.392,12.492,1.7194,10.427299999999999,17.199099999999998,18.2076,0.9594,18.2078,29.250700000000002,29.434099999999997,41.9261
121,excess,2026-09-10 15:01:57.513,14.3762,3.2073,10.514,18.579900000000002,19.9245,1.2902,19.9247,31.0252,31.271099999999997,45.6473
122,excess,2026-09-10 15:01:59.629,13.2234,2.1903,10.604700000000001,16.279600000000002,17.5033,1.1857,17.5036,28.4864,28.6092,41.8326
123,excess,2026-09-10 15:02:01.742,12.4886,1.7185,10.4284,19.462,20.5624,1.0606,20.5626,31.5961,31.749299999999998,44.2379
124,excess,2026-09-10 15:02:03.881,19.66,8.5046,10.6531,20.4512,26.717299999999998,6.2024,26.717599999999997,38.0584,38.3099,57.9699
125,excess,2026-09-10 15:02:05.989,16.3983,5.1707,10.6505,18.0295,19.494799999999998,1.4203,19.495,30.228900000000003,30.4389,46.837199999999996
